Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Rainfall,Temperature,Humidity
Jute,1998,Kharif,assam,78702.0,687173,2354.4,7775757.6,22823.58,9.040869565,32.839999999999996,27.7,82.88199999999999
Linseed,1998,Rabi,assam,10222.0,5212,2354.4,1009933.6,2964.38,0.480909091,1.15,20.18,55.09400000000001
Maize,1998,Kharif,assam,19810.0,13965,2354.4,1957228.0,5744.9,0.608695652,32.839999999999996,27.7,82.88199999999999
Mesta,1998,Kharif,assam,5260.0,25623,2354.4,519688.0,1525.4,4.9105,32.839999999999996,27.7,82.88199999999999
Niger seed,1998,Kharif,assam,8753.0,4478,2354.4,864796.4,2538.37,0.520555556,32.839999999999996,27.7,82.88199999999999
Other  Rabi pulses,1998,Rabi,assam,116141.0,62330,2354.4,11474730.8,33680.89,0.50826087,1.15,20.18,55.09400000000001
Rapeseed &Mustard,1998,Rabi,assam,288829.0,135631,2354.4,28536305.2,83760.41,0.473478261,1.15,20.18,55.09400000000001
Rice,1998,Summer,assam,223913.0,446114,2354.4,22122604.4,64934.77,1.685217391,7.09,28.16,61.84
Sesamum,1998,Kharif,assam,15940.0,8210,2354.4,1574872.0,4622.6,0.485217391,32.839999999999996,27.7,82.88199999999999
Small millets,1998,Kharif,assam,10547.0,5450,2354.4,1042043.6,3058.63,0.521363636,32.839999999999996,27.7,82.88199999999999
Wheat,1998,Rabi,assam,89591.0,90509,2354.4,8851590.8,25981.39,0.999545455,1.15,20.18,55.09400000000001
Arhar/Tur,1998,Kharif,karnataka,475396.0,221453,1260.8,46969124.8,137864.84,0.400833333,17.98,24.948,79.5
Bajra,1998,Kharif,karnataka,415816.0,282231,1260.8,41082620.8,120586.64,0.601764706,17.98,24.948,79.5
Bajra,1998,Rabi,karnataka,451.0,536,1260.8,44558.8,130.79,1.19,0.95,24.056,48.464
Bajra,1998,Summer,karnataka,846.0,498,1260.8,83584.8,245.34,0.59,1.94,31.759999999999998,44.155
Castor seed,1998,Kharif,karnataka,27246.0,23245,1260.8,2691904.8,7901.34,0.831818182,17.98,24.948,79.5
Cotton(lint),1998,Kharif,karnataka,636495.0,976876,1260.8,62885706.0,184583.55,1.556521739,17.98,24.948,79.5
Ginger,1998,Kharif,karnataka,3896.0,51169,1260.8,384924.8,1129.84,12.75944444,17.98,24.948,79.5
Gram,1998,Rabi,karnataka,355326.0,202508,1260.8,35106208.8,103044.54,0.573478261,0.95,24.056,48.464
Groundnut,1998,Kharif,karnataka,1012577.0,929016,1260.8,100042607.6,293647.33,0.8568,17.98,24.948,79.5
Groundnut,1998,Rabi,karnataka,217445.0,263118,1260.8,21483566.0,63059.05,1.3052,0.95,24.056,48.464
Horse-gram,1998,Kharif,karnataka,189486.0,90718,1260.8,18721216.8,54950.94,0.504615385,17.98,24.948,79.5
Horse-gram,1998,Rabi,karnataka,134779.0,62084,1260.8,13316165.2,39085.91,0.4492,0.95,24.056,48.464
Jowar,1998,Kharif,karnataka,420808.0,616645,1260.8,41575830.4,122034.32,1.305714286,17.98,24.948,79.5
Jowar,1998,Rabi,karnataka,1420162.0,1003450,1260.8,140312005.6,411846.98,0.7235,0.95,24.056,48.464
Jowar,1998,Summer,karnataka,8897.0,23144,1260.8,879023.6,2580.13,2.461333333,1.94,31.759999999999998,44.155
Linseed,1998,Rabi,karnataka,19806.0,6441,1260.8,1956832.8,5743.74,0.315,0.95,24.056,48.464
